"Year","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975"
2009,253121.70937122,23519.9021920493,211062.550453898,217067.037925112,251609.289575373,294066.681669631,302717.332901862
2010,233326.906979756,19874.1640843367,197802.732728743,202487.937928735,232269.54224595,267574.365931234,275464.051958649
2011,221210.555739466,18025.52019438,188519.878830642,193235.759905513,220395.332992239,252133.049077863,259596.075486579
2012,225268.18961031,18905.7454843512,191110.256497209,196092.571350917,224262.859519117,258038.340379921,265215.900012666
2013,220646.717895889,20158.9922743217,184200.778917534,189423.675658074,219469.167035298,255414.323543003,263792.895439204
2014,221725.095538383,19952.2026705403,185874.764763399,190930.586161246,220475.028185568,256226.750233741,264054.232790425
2015,206463.855498945,20539.4447705135,170140.264239651,175157.832542668,205076.623842512,242163.008562946,250549.531504619
2016,206245.768218441,21043.3920523824,168745.494303548,174103.418816105,204996.869348648,242676.906133053,251045.448008996
2017,214399.018403937,23022.8356841832,174483.833787822,179909.907891115,212694.839477518,255065.906776809,264390.487264844
2018,230114.00233782,26140.8951618106,186484.420812819,191992.835345862,227527.946771531,275489.748717638,288245.605869212
