"region","year","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975"
"Amundsen Sea",2009,36665.7927077462,7003.69193287589,26148.737294464,27460.2753031789,35626.8338718024,49500.150807053,53391.4422883807
"Amundsen Sea",2010,38069.192438278,6553.47892314152,27787.6802877804,29022.2302135089,37224.8625960898,49842.0415471038,53345.0709363446
"Amundsen Sea",2011,37303.9427451518,7135.08877496231,25841.6815638757,27234.9777218146,36487.2085089372,50073.3975147611,53680.8697503453
"Amundsen Sea",2012,36387.2394307282,7048.20573821928,24964.9942062696,26486.4309027121,35573.2520797866,49077.693778812,52491.5563570805
"Amundsen Sea",2013,36507.4949847741,6770.3682638105,25850.4872006349,27218.9233945705,35620.249243156,48943.017868121,52294.5895819506
"Amundsen Sea",2014,36019.8720826213,6701.77875664466,25581.6719297029,26813.8903488005,35137.0764652007,48276.1066241801,51531.8303693032
"Amundsen Sea",2015,31928.3098942721,8061.20756888943,19361.8855572252,20875.8201398428,30854.8407570609,46487.2818929074,50646.5800065066
"Amundsen Sea",2016,33387.0013174951,7252.58308134369,22283.6967586473,23682.2874056451,32347.130755216,46435.8370458289,50448.4430566356
"Amundsen Sea",2017,34127.9335058684,9705.44259633189,20083.9165567051,21662.8026500077,32508.4996827606,51904.8073621107,57855.6339293074
"Amundsen Sea",2018,36390.4445010034,13678.4520196394,16274.0964037414,19389.5147106221,33962.080868971,61294.7119342157,70250.1291978965
"Australia",2009,18134.1973814266,3797.86421033818,12359.6302704952,13062.8967484162,17585.0980881357,25099.3785827584,27079.8455030875
"Australia",2010,15866.040371693,3068.4037265314,11149.9295712529,11678.0621864402,15443.9828496471,21546.924515608,23153.9415840917
"Australia",2011,14365.7234542452,2582.1976574811,10355.3512613079,10812.7334090851,14031.8997875551,19023.9343993078,20405.9850751217
"Australia",2012,12960.394755685,2533.75455201286,9136.51248897567,9593.85297644326,12579.6926770295,17561.7022032534,18974.3145055744
"Australia",2013,11613.0749117772,2745.53820484135,7502.4180566178,7991.7665198132,11195.8193459874,16633.2495823559,18128.3076283628
"Australia",2014,13669.3897931221,2540.03266783387,9773.99399071097,10219.6927029481,13308.6588697872,18288.468348812,19631.3326491099
"Australia",2015,14087.9708019779,3053.54865086336,9672.35338592545,10137.6843664946,13598.3567671125,19655.2195223271,21491.0483941843
"Australia",2016,13170.3561070347,5524.29191188294,3061.77849164486,5958.11786495526,12322.3644231233,23115.5729549912,26373.6892606422
"Australia",2017,13602.4548481484,7413.91311839606,3181.51615757316,5177.42784986496,12079.1084489249,26820.5354606208,32188.0567731669
"Australia",2018,14314.5289379091,9149.68051543533,3454.73384383692,4951.81756960602,12112.6280882145,30539.0845760914,37255.0014144047
"Bellingshausen Sea",2009,20337.3171813228,3295.36241753416,14927.4875118596,15622.3982660711,19973.8128913785,26283.4668168726,27869.3758810712
"Bellingshausen Sea",2010,16606.0482837835,2798.37555904991,11794.9944516128,12503.1489230655,16366.3951658279,21581.4083465195,22900.3692142817
"Bellingshausen Sea",2011,15302.3619780293,2253.94564935437,11495.6931475827,11997.7334476837,15091.8626714389,19298.2707509936,20350.9168981601
"Bellingshausen Sea",2012,16498.0094455361,2047.02153064265,12998.3996049567,13475.743043826,16334.1867822176,20151.5761629492,21036.6902985725
"Bellingshausen Sea",2013,16300.2971687699,2026.20099824324,12771.3223054326,13264.6517406856,16133.2228443587,19858.3345364421,20724.4811010838
"Bellingshausen Sea",2014,17223.2650299772,2134.56234579391,13549.3640725542,14051.5687832743,17042.6326357946,21001.9703611291,21918.9491313976
"Bellingshausen Sea",2015,16231.4104771284,2692.99865088275,11380.0757030103,12120.0508160074,16047.1404642384,20882.4878701112,22023.8520906192
"Bellingshausen Sea",2016,17814.4427716127,2824.94482346243,12839.796539102,13571.3865232604,17604.797975779,22724.5210033397,24001.0457774554
"Bellingshausen Sea",2017,20234.4532100782,3552.42072351763,13653.5071812762,14963.7382331233,19959.6849490728,26411.3396792289,28138.6044709298
"Bellingshausen Sea",2018,23176.1218670486,4226.64848934945,16409.8348166224,17269.6247344922,22658.4692927191,30829.2271845319,33028.3180451584
"Dronning Maud Land",2009,19767.1630581557,3469.42293044476,14232.0020457487,14889.7060393006,19343.924473312,26068.6710364063,27631.560368401
"Dronning Maud Land",2010,19017.6026589631,3321.1469736398,13114.041570933,14040.3121033606,18773.780741478,24829.6309793399,26291.9595569054
"Dronning Maud Land",2011,18327.8026779701,2228.37929948734,14554.569821035,15032.7064155213,18132.6800279016,22301.4490665552,23235.4043724377
"Dronning Maud Land",2012,17649.9074032017,2651.19071553247,13130.5327052376,13728.2611445987,17415.3679087853,22363.7403225323,23486.4534244579
"Dronning Maud Land",2013,17775.0448405238,2688.98742906667,13248.1410471426,13858.3731313684,17513.9445227091,22521.3105644047,23774.6179275706
"Dronning Maud Land",2014,17519.5366604916,2717.36837404774,12942.2567646858,13558.6663555785,17253.4249238294,22377.2436181631,23556.776210254
"Dronning Maud Land",2015,18331.2691077843,3317.02875776283,12392.323907572,13352.8690338166,18091.1652798735,24087.3727465456,25564.1715932467
"Dronning Maud Land",2016,21676.4232492542,3825.42915294665,14437.5854962438,15788.9703563047,21493.3255955667,28139.4418824902,29783.432853947
"Dronning Maud Land",2017,24167.2795050585,3381.31346051359,18500.6863791424,19224.4187645049,23842.3977120787,30124.1485009902,31610.2118323198
"Dronning Maud Land",2018,22702.9966682352,3404.67380338235,17353.9978708354,17998.0349519866,22280.1306840568,28858.7177785609,30559.471805993
"East Indian Ocean",2009,16776.2605253691,3613.85983259447,10864.9333710463,11737.432383717,16353.9383530808,23163.2016330868,25093.3486774391
"East Indian Ocean",2010,15550.0786244842,3305.14575203986,9886.86103253805,10831.9962868081,15216.1599451052,21344.9827541375,22911.3615650596
"East Indian Ocean",2011,13734.0699019788,3097.73809121973,8407.57759910016,9312.81800507209,13425.5518666158,19221.4645766787,20784.9777058623
"East Indian Ocean",2012,13554.9770552573,2576.49511003478,9561.93845930311,10056.6110208123,13221.3739592513,18219.6470300224,19517.9188779339
"East Indian Ocean",2013,11342.6455710246,3082.6912773094,6126.82021544416,6980.32734087552,11021.4325570009,16798.006248592,18289.6872609726
"East Indian Ocean",2014,10701.2921584741,2804.920691882,6906.00520255883,7307.97696947154,10201.3123196557,15715.512562527,17462.3734139314
"East Indian Ocean",2015,9896.09492317827,3349.68740994758,5798.73395716413,6222.06203077641,9257.39959835753,15556.4178639064,17796.8672467255
"East Indian Ocean",2016,10385.2905219226,3819.65802675262,6177.44233006355,6600.6427545161,9626.95755682975,16516.4628032559,19134.2633899993
