"region","year","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975"
"Bell-Amundsen",2009,28648.297472319,3921.36639743238,22007.2334092651,22919.457221098,28294.8887315331,35588.3863989568,37379.5186572223
"Bell-Amundsen",2010,22669.9932951352,3241.55231521883,17101.8167661562,17826.5537761124,22374.9060196866,28414.5456234958,29840.922931865
"Bell-Amundsen",2011,16254.6339352815,2505.89133179021,11979.0374253975,12535.1869741535,16049.4939313598,20721.677031049,21777.3582112739
"Bell-Amundsen",2012,15754.4673674217,2176.7706579055,12037.2356096192,12569.1335132427,15552.7692298278,19572.5050574062,20553.9422453318
"Bell-Amundsen",2013,16711.7109908827,2503.49298817201,12489.1708041231,13083.7985257014,16472.6981421683,21154.1400485328,22282.078199118
"Bell-Amundsen",2014,16920.1411684748,2432.01245255766,12883.7164290767,13397.519148662,16662.8923714602,21256.7677182978,22370.8431788987
"Bell-Amundsen",2015,17649.2947811203,3194.43861168151,12407.1440749947,13104.231610017,17311.867142745,23365.1289527551,24914.9866557333
"Bell-Amundsen",2016,20377.2097406734,4144.76649139517,13502.4761824505,14462.047760645,19962.0299653548,27693.3156421447,29684.4609464543
"Bell-Amundsen",2017,23808.6799173529,5346.9532642608,14833.0839004579,16152.7287092181,23275.8902622846,33060.4160828763,35706.8376128414
"Bell-Amundsen",2018,28902.0495898941,6118.10664614374,19756.6306123584,20898.6013662929,28012.9462607851,39593.0231206825,42713.9268710609
"Indian",2009,30508.8154604139,3754.91150742096,24115.2308414364,24953.2943350293,30211.0584077186,37145.4077917876,38777.6321453656
"Indian",2010,23176.2111040129,3176.42117764176,17777.2335412939,18503.1412924193,22879.1035118439,28832.3590941435,30201.6022948207
"Indian",2011,18544.657495571,2941.98000929906,13582.8480033961,14220.4322168888,18286.8994536208,23762.1176922189,25019.6728376314
"Indian",2012,17915.1529105582,2819.53299795668,13142.4097146016,13757.1403525477,17641.3718414075,22938.7136086061,24206.4734132559
"Indian",2013,18816.4544684257,3197.08403518188,13108.271182888,13953.2204829579,18596.5106221045,24343.2531643259,25729.1751653002
"Indian",2014,20105.2608082645,3008.02267656115,15019.2965332556,15704.0352456305,19821.1414907728,25463.1074704173,26770.9709601506
"Indian",2015,20149.7689287544,3246.04966774237,14809.931399877,15496.2587651711,19814.3273778696,25933.1593810807,27472.741728061
"Indian",2016,20972.4759332971,3942.04736725731,14534.9847572733,15382.2622647117,20527.3140440969,27926.1861158939,29883.455209443
"Indian",2017,21616.1107633719,4359.43900242199,14850.9474587613,15688.376257106,21049.669670491,29382.6416999585,31770.211833199
"Indian",2018,21175.3055016463,5754.47409421362,12411.147119094,13604.8957950027,20369.1519808429,31464.7321141281,34747.1375457222
"Pacific",2009,36702.4286809339,5803.76087127096,27110.0215089221,28327.1039601336,36068.3022102964,47134.5372555934,49908.7467631987
"Pacific",2010,28243.4543271907,4582.54352025887,20448.3170451079,21549.9832374058,27813.22697723,36342.5376056932,38486.9543525692
"Pacific",2011,29300.60496376,4393.33851809689,21820.7121997763,22883.2162191051,28924.7770238852,37128.2099241413,38973.0392127021
"Pacific",2012,27583.8339714024,4057.77581878466,20735.9072569861,21676.9667321592,27221.3763915943,34818.932724462,36630.5499319202
"Pacific",2013,24039.5263977248,4278.14936497887,16924.0344305167,17813.75349156,23617.9037752315,31593.8473362029,33701.1981813014
"Pacific",2014,25817.9913758424,4143.75913238354,19091.3775873501,19943.3238982324,25356.4106702791,33121.8521251189,35139.1143562961
"Pacific",2015,28215.0319987926,4791.74646988132,20883.0242057163,21788.7520380495,27548.1923477527,36754.6418703832,39287.8673791207
"Pacific",2016,27697.0249263885,7463.39344655321,15653.9915831265,17484.0395918246,26791.0231591005,40833.2197251026,44819.4405813744
"Pacific",2017,29873.0622934823,9544.1493140598,15751.8968511855,17724.5303675976,28375.724032405,46705.5521002454,52115.1767105149
"Pacific",2018,33251.6988986395,11369.813151572,18960.6066874925,20465.8899240714,30938.467539168,53527.4223206707,61073.3190179874
"Ross",2009,76759.3286207646,11624.2285173991,57624.8087286832,60060.8067972242,75503.7638401558,97550.9573793567,102969.437330476
"Ross",2010,81713.8759736823,9474.62281343656,65493.9232331741,67670.0486206297,80866.1062376532,98506.9125305497,102425.100996607
"Ross",2011,82806.6626036526,9024.45584044071,67216.7985227379,69268.7742973115,82098.2153110315,98719.4224864351,102613.522848964
"Ross",2012,89778.4357736388,11541.3494338971,69766.0227920804,72675.9706914011,88836.3809124327,110185.218521711,115005.209073147
"Ross",2013,92573.5672379576,12981.4013550306,69916.7579674959,73132.0280579816,91621.5211160953,115488.020060597,120895.00023257
"Ross",2014,95422.3417692477,12553.2913348515,74293.2035804229,76910.3981218823,94243.4778212849,117751.026783413,123215.337902963
"Ross",2015,77671.2608825278,13228.2162343377,55735.2681000514,58537.7261646431,76337.874956812,101025.253315389,107360.208622402
"Ross",2016,73009.7491669769,11747.1522673723,53157.9154757379,55879.0626223644,71915.8772532221,93930.3945130199,99438.5359544142
"Ross",2017,69670.3868571674,13058.9290239788,48223.2016389539,51053.4242567479,68228.1249381067,92828.719097666,99169.4845589721
"Ross",2018,74847.9171093458,15159.1479192027,51398.8976376341,54663.7191054029,72765.432331339,102007.124592119,110174.740666692
"Weddell",2009,80666.4949752464,9814.19955846936,63898.3964261923,66032.7102628992,79863.1913181421,97952.9609830908,102247.32659512
"Weddell",2010,77798.4506867351,9048.36933434161,61898.2745212698,64069.3541779352,77183.6956500213,93450.3150736993,97212.9414188202
"Weddell",2011,74453.1472428694,8037.07880778808,60547.8049794268,62385.544163643,73823.5019985783,88569.6918977551,92037.0282021978
"Weddell",2012,74438.0381060551,7921.33298369996,60498.3108198116,62447.6115034511,73855.0088152304,88273.8039528428,91470.9539723958
"Weddell",2013,68576.1240597972,7296.17814997518,55698.3018867451,57510.9745307683,68097.473574931,81388.0450359741,84265.3380465625
"Weddell",2014,63642.1620665064,6934.20088883997,51329.1470148391,53127.4716052095,63200.8755155175,75891.1861229253,78464.24680919
"Weddell",2015,62934.8593781257,7166.37788230216,50120.2675992318,51937.0146682829,62551.2924298809,75437.6019957533,78235.4798992582
"Weddell",2016,64387.4913365778,7778.43749468753,50448.7359985359,52511.7327897838,63947.4745568884,77871.8781388877,81085.4368664346
"Weddell",2017,69648.010845037,7780.32821014118,55850.2537753402,57888.9155475799,69110.4474584787,83195.1247712474,86562.2403790189
"Weddell",2018,72140.7003449819,8312.97341651509,57930.4057508611,59802.4544702972,71431.0615924475,86837.3355270979,90516.4314461364
