"year","site_number","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975","change_since_2009_mean","change_since_2009_q025","change_since_2009_q05","change_since_2009_median","change_since_2009_q95","change_since_2009_q975","prob_decline_since_2009","site_id","site_name","lat","lon","img_lat_mean","img_lon_mean","ccamlr_reg","ice_reg","p_ice_reg","MPA_current_name","MPA_proposed_name","in_MPA_current","in_MPA_any","site_id_factor"
2009,1,16469.8718774676,5944.03217264238,8792.51390482873,9516.28696269302,15264.5463731282,27649.7531627935,31413.0404390902,0,0,0,0,0,0,0,"CBEK","Cape Colbeck",-77.135,-157.715,-77.135,-131.4166667,"Subarea 88.2","Amundsen Sea","Ross","Ross","","yes","yes","CBEK"
2009,2,2608.67755209525,1353.52838826103,0,943.084431706824,2394.56921937764,5060.3787868833,5826.40278913052,0,0,0,0,0,0,0,"RUPE","Rupert Coast",-75.38,-143.3,-75.38,0,"Subarea 88.2","Amundsen Sea","Ross","","","no","no","RUPE"
2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LEDD","Ledda Bay",-74.228,-130.784,-74.228,-16.36625,"Subarea 88.2","Amundsen Sea","Bell-Amundsen","","","no","no","LEDD"
2009,4,3739.69674782184,1241.68056328139,2081.00191151842,2239.9857168166,3496.46792170299,6069.73883033466,6860.54592703634,0,0,0,0,0,0,0,"THUR","Thurston Glacier",-73.5,-125.621,-73.5,-109.918375,"Subarea 88.2","Amundsen Sea","Bell-Amundsen","","","no","no","THUR"
2009,5,7816.26908546963,1865.37342778656,5081.54613404,5386.59109258452,7523.63173557229,11243.7850882697,12227.4058731049,0,0,0,0,0,0,0,"BEAR","Bear Peninsula",-74.35,-110.25,-74.3555,-82.6875,"Subarea 88.2","Amundsen Sea","Bell-Amundsen","","","no","no","BEAR"
2009,6,6031.27744489195,1592.62547297068,3713.07899210908,3981.17370591709,5765.72459281886,8983.5539274671,9893.75707635097,0,0,0,0,0,0,0,"BSON","Brownson Islands",-74.35,-103.64,-74.35,-74.02857143,"Subarea 88.3","Amundsen Sea","Bell-Amundsen","","","no","no","BSON"
2009,7,3666.73720306946,986.750155529978,2244.40373655828,2399.64663820766,3503.58735033263,5478.79176853971,6019.65329535465,0,0,0,0,0,0,0,"NOVI","Noville Peninsula",-71.77,-98.45,-71.77,-86.14375,"Subarea 88.3","Bellingshausen Sea","Bell-Amundsen","","","no","no","NOVI"
2009,8,1198.41015722938,777.428182123097,0,301.263827375553,1040.47892836292,2631.97707840353,3167.28318443244,0,0,0,0,0,0,0,"BRYA","Bryan Coast",-73.246649,-85.353244,-73.246649,-79.25658371,"Subarea 88.3","Bellingshausen Sea","Bell-Amundsen","","","no","no","BRYA"
2009,9,4832.78291709856,1075.40425042045,3203.46563602683,3380.85844507729,4679.67112267409,6811.64903838594,7353.93052068276,0,0,0,0,0,0,0,"SMYL","Smyley",-72.3,-78.83,-72.3,-68.97625,"Subarea 88.3","Bellingshausen Sea","Bell-Amundsen","","P-D1MPA","no","yes","SMYL"
2009,10,1377.60885518583,878.071219116468,0,368.739489029254,1201.51873746261,2960.04541284934,3546.07463999305,0,0,0,0,0,0,0,"ROTS","Rothschild",-69.518,-72.265,-69.518,-66.24291667,"Subarea 88.3","Bellingshausen Sea","Bell-Amundsen","","P-D1MPA","no","yes","ROTS"
2009,11,3521.07010270509,784.518824213861,2319.88781648521,2452.65112241182,3408.26603554893,4969.6780104354,5353.94753543488,0,0,0,0,0,0,0,"SMTH","Smith",-74.37,-60.83,-74.37,-48.664,"Subarea 48.5","Bellingshausen Sea","Weddell","","P-WEDDELL","no","yes","SMTH"
2009,12,2200.70043738415,1168.46100331236,0,763.498122625039,2015.01792175789,4319.42931633065,5041.91688620754,0,0,0,0,0,0,0,"JASN","Jason",-66.100236,-60.668903,-66.100236,-53.92791378,"Subarea 48.5","Bellingshausen Sea","Weddell","","P-WEDDELL","no","yes","JASN"
2009,13,3540.00750865038,1834.54968264665,1396.18493448059,1576.3867059431,3097.31974751157,6996.01985730219,8352.87099815372,0,0,0,0,0,0,0,"DOLL","Dolleman",-70.61,-60.43,-70.65,-47.00111111,"Subarea 48.5","Bellingshausen Sea","Weddell","","P-WEDDELL","no","yes","DOLL"
2009,14,3924.35597142318,1381.9984143339,2070.20700476825,2252.31394896203,3655.22593591845,6495.06737359352,7357.64769167597,0,0,0,0,0,0,0,"SNOW","Snowhill",-64.52,-57.44,-64.52,-44.67555556,"Subarea 48.1","Weddell Sea","Weddell","","P-WEDDELL","no","yes","SNOW"
2009,15,6399.51577633305,1514.40886413928,4138.05057802279,4395.02195364051,6167.42344319607,9170.55487171391,10027.9500112306,0,0,0,0,0,0,0,"GOUL","Gould",-77.71,-47.68,-77.71,-38.144,"Subarea 48.5","Weddell Sea","Weddell","","P-WEDDELL","no","yes","GOUL"
2009,16,6358.19105690044,1455.88950325998,4184.93876258614,4425.21391059827,6137.85747715359,9070.46311564389,9846.64452465996,0,0,0,0,0,0,0,"LUIT","Luitpold",-77.269,-33.54,-77.269,-27.44832355,"Subarea 48.5","Weddell Sea","Weddell","","P-WEDDELL","no","yes","LUIT"
2009,17,20667.5251022079,5250.61385319824,13026.4184484318,13859.8799111791,19821.8895065225,30390.1024145007,33069.3478036548,0,0,0,0,0,0,0,"HALY","Halley",-75.54,-27.43,-75.54,-24.38222222,"Subarea 48.5","Weddell Sea","Weddell","","P-WEDDELL","no","yes","HALY"
2009,18,2365.51436706173,620.730993526978,1478.96591779223,1572.73967152981,2255.00920792298,3507.7915385915,3850.51234179704,0,0,0,0,0,0,0,"DAWS","Dawson",-76.02,-26.67,-76.02,-24.24545455,"Subarea 48.5","Weddell Sea","Weddell","","P-WEDDELL","no","yes","DAWS"
2009,19,7424.00947778434,2832.12622912168,3788.23789501814,4117.09795577397,6822.83020064284,12755.519807119,14546.6207596972,0,0,0,0,0,0,0,"STCB","Stancomb",-74.12,-23.09,-74.12,-21.44071429,"Subarea 48.5","Weddell Sea","Weddell","","P-WEDDELL","no","yes","STCB"
2009,20,4512.24430638491,2002.79273409705,2011.74820737719,2217.52015607387,4067.05876990548,8299.09822803455,9697.36760075868,0,0,0,0,0,0,0,"DRES","Drescher",-72.83,-19.34,-72.83,-15.472,"Subarea 48.6","Weddell Sea","Weddell","","P-WEDDELL","no","yes","DRES"
2009,21,5021.6851445147,1867.057401357,2663.48959731294,2871.24283721803,4622.74117297485,8523.03306556122,9754.33645976684,0,0,0,0,0,0,0,"RIIS","Riiser",-72.12,-15.11,-72.12,-12.088,"Subarea 48.6","Dronning Maud Land","Weddell","","P-WEDDELL","no","yes","RIIS"
2009,22,7849.78827464213,2096.252273193,4853.96966134326,5174.46880399915,7494.85011710853,11744.8780453981,12973.3544483801,0,0,0,0,0,0,0,"ATKA","Atka",-70.61,-8.13,-70.61,-7.8048,"Subarea 48.6","Dronning Maud Land","Weddell","","P-WEDDELL","no","no","ATKA"
2009,23,3604.90648279125,1088.73212577953,2111.86208595219,2263.29553781902,3395.32784809354,5631.37005351316,6298.60026587711,0,0,0,0,0,0,0,"SANA","Sanae",-70.03,-1.34,-70.04355556,-0.946666667,"Subarea 48.6","Dronning Maud Land","Weddell","","P-WEDDELL","no","yes","SANA"
2009,24,2610.2747417106,1163.02006030896,1243.52610757206,1361.65800712977,2340.58158198777,4766.74949165377,5583.61189966247,0,0,0,0,0,0,0,"ASTD","Astrid",-69.95,8.31,-69.95,4.986,"Subarea 48.6","Dronning Maud Land","Weddell","","P-WEDDELL","no","no","ASTD"
2009,25,680.508414496977,205.172735307617,402.280312161743,431.83750721608,641.230990007924,1060.00484489076,1193.87674671729,0,0,0,0,0,0,0,"LAZA","Lazarev",-69.75,15.55,-69.75,11.6625,"Subarea 48.6","Dronning Maud Land","Weddell","","P-WEDDELL","no","yes","LAZA"
2009,26,5129.38044418496,1196.79108079448,3354.87521014994,3552.46493561562,4945.71483234895,7303.62642039231,7940.94683247098,0,0,0,0,0,0,0,"RAGN","Ragnhild",-69.9,27.15,-69.9,24.13333333,"Subarea 48.6","West Indian Ocean","Indian","","","no","no","RAGN"
2009,27,4972.77360266081,1519.57141105201,2886.57738487678,3103.19975217979,4686.91817702022,7784.64984139196,8704.74310993892,0,0,0,0,0,0,0,"GUNN","Gunnerus",-68.75,34.38,-68.75,29.46857143,"Division 58.4.2","West Indian Ocean","Indian","","","no","no","GUNN"
2009,28,234.845587457226,150.598664942071,100.20951366847,109.471900315322,194.625508696014,490.192497379813,613.374681690007,0,0,0,0,0,0,0,"UMBE","Umbeashi",-68.05,43.01,-68.05,0,"Division 58.4.2","West Indian Ocean","Indian","","","no","no","UMBE"
2009,29,137.589495147998,70.7470690076775,64.8819333039208,70.5756111400925,119.798402338727,264.049231098578,320.423473172396,0,0,0,0,0,0,0,"AMUN","Amundsen Bay",-66.78,50.55,-66.78,0,"Division 58.4.2","West Indian Ocean","Indian","","","no","no","AMUN"
2009,30,2932.69606959597,715.396502005934,1876.34159453405,1989.75308384784,2823.64633301415,4246.20735007814,4662.90285379031,0,0,0,0,0,0,0,"KLOA","Kloa Point",-66.64,57.28,-66.64,45.824,"Division 58.4.2","West Indian Ocean","Indian","","","no","no","KLOA"
2009,31,275.314955624078,85.7537553706759,157.211121932335,169.020488822255,259.048383065211,436.07467088294,487.051958693179,0,0,0,0,0,0,0,"FOLD","Fold Island",-67.32,59.32,-67.32,44.49,"Division 58.4.2","West Indian Ocean","Indian","","","no","no","FOLD"
2009,32,957.922836379153,402.588908571746,454.497214759136,500.257948770922,871.621360547075,1704.39074309925,1981.33666684902,0,0,0,0,0,0,0,"TAYG","Taylor Glacier",-67.45,60.88,-67.45,43.48571429,"Division 58.4.2","West Indian Ocean","Indian","","P-EARSMPA","no","yes","TAYG"
2009,33,6988.40879664969,1868.05655893429,4329.12956917695,4624.33085814155,6676.00566432904,10411.8444483783,11543.331499083,0,0,0,0,0,0,0,"AUST","Auster",-67.39,63.98,-67.39,54.84,"Division 58.4.2","West Indian Ocean","Indian","","P-EARSMPA","no","no","AUST"
2009,34,3279.74256187727,913.547764937821,2014.02004006363,2143.12074253684,3116.08838484059,4963.0175108214,5483.52774390631,0,0,0,0,0,0,0,"DARN","Cape Darnley",-67.88,69.7,-67.88,49.78571429,"Division 58.4.2","West Indian Ocean","Indian","","P-EARSMPA","no","yes","DARN"
2009,35,5038.95096931958,1006.38255367251,3457.35012066148,3633.12196087486,4910.55948657151,6884.89187738109,7397.80269028965,0,0,0,0,0,0,0,"AMAN","Amanda Bay",-69.27,76.83,-69.27,59.75666667,"Division 58.4.2","East Indian Ocean","Indian","","","no","no","AMAN"
2009,36,557.681181109665,384.480699126934,0,155.556023862842,471.848156362366,1240.79010327058,1516.71485163841,0,0,0,0,0,0,0,"BBAY","Barrier Bay",-67.22,81.92,-67.22,0,"Division 58.4.1","East Indian Ocean","Indian","","","no","no","BBAY"
2009,37,5133.1300042929,2677.20327748761,0,1776.34084209763,4728.53997434544,9934.75561309313,11396.3424828527,0,0,0,0,0,0,0,"HASW","Haswell Island",-66.52,93.01,-66.52,0,"Division 58.4.1","East Indian Ocean","Pacific","","P-EARSMPA","no","yes","HASW"
2009,38,6046.498370647,1907.45436991944,3580.3249065681,3831.40969015329,5672.32659116932,9449.60135236308,10722.6186494661,0,0,0,0,0,0,0,"SHAC","Shackleton Ice Shelf",-64.86,96.02,-64.86,0,"Division 58.4.1","East Indian Ocean","Pacific","","","no","no","SHAC"
2009,39,1959.78216188898,654.552627569036,1102.27729874233,1184.11529774151,1827.02324854054,3182.82288169694,3625.59869038259,0,0,0,0,0,0,0,"BOWM","Bowman Island",-65.16,103.07,-65.16,73.62142857,"Division 58.4.1","Australia","Pacific","","","no","no","BOWM"
2009,40,2459.08701483859,1243.49686798998,0,916.179809414427,2273.54029413926,4711.9347524733,5408.69520508708,0,0,0,0,0,0,0,"PSON","Peterson Bank",-65.92,110.23,-65.92,94.48285714,"Division 58.4.1","Australia","Pacific","","","no","no","PSON"
2009,41,11399.2442649475,3315.8400560276,6816.18411435736,7276.60416289592,10807.0568107912,17590.4289930595,19577.1038960143,0,0,0,0,0,0,0,"DIBB","Dibble Glacier",-66.01,134.79,-66.01,117.94125,"Division 58.4.1","Australia","Pacific","","","no","no","DIBB"
2009,42,2316.08393975156,652.689752617294,1398.93774321419,1500.96077168612,2196.27122534817,3522.4196440343,3926.31946354987,0,0,0,0,0,0,0,"PGEO","Point Geologie",-66.67,140.01,-66.67,108.8966667,"Division 58.4.1","Australia","Pacific","","P-EARSMPA","no","yes","PGEO"
2009,43,5502.57981390357,1677.37629553634,3232.04139745232,3451.65490446404,5182.73368618398,8622.08298435007,9680.65501668569,0,0,0,0,0,0,0,"MERT","Mertz Glacier",-67.23,145.516,-67.239125,18.1894935,"Division 58.4.1","Victoria Oates Land","Pacific","","P-EARSMPA","no","yes","MERT"
2009,44,1902.34014475107,618.159401907054,1090.19605964201,1174.78803196823,1778.22356023354,3046.78842130078,3452.78199534594,0,0,0,0,0,0,0,"DBAY","Davis Bay",-69.35,158.49,-69.35,0,"Subarea 88.1","Victoria Oates Land","Pacific","Ross","","yes","yes","DBAY"
2009,45,11349.5295918574,3135.94187051056,6971.31043947758,7395.3475429735,10795.944083836,17153.8704800677,18949.9672385295,0,0,0,0,0,0,0,"WASH","Cape Washington",-74.64,165.37,-74.64,0,"Subarea 88.1","Victoria Oates Land","Ross","Ross","","yes","yes","WASH"
2009,46,1981.07898525432,603.425949862669,1145.09479474059,1229.93505699204,1868.42658449534,3115.41112787588,3450.05611480952,0,0,0,0,0,0,0,"BEAN","Beaufort Island",-76.94,167.02,-76.94,146.1425,"Subarea 88.1","Victoria Oates Land","Ross","Ross","","yes","yes","BEAN"
2009,47,7970.25492318646,2237.5940984476,4769.52947957533,5130.72483415008,7580.82330432662,12108.9605611281,13395.7161303827,0,0,0,0,0,0,0,"FRAN","Franklin Island",-76.18,168.43,-76.18,147.37625,"Subarea 88.1","Victoria Oates Land","Ross","Ross","","yes","yes","FRAN"
2009,48,775.023641201356,335.586812087725,336.583158422214,375.305482580469,706.836708577761,1410.74723763952,1627.33303101363,0,0,0,0,0,0,0,"CROZ","Cape Crozier",-77.46,169.32,-77.46,112.88,"Subarea 88.1","Victoria Oates Land","Ross","Ross","","yes","yes","CROZ"
2009,49,25637.4622412123,7211.53859197972,15361.32013406,16430.1378070602,24416.8814204326,39023.3685256488,43187.4812292821,0,0,0,0,0,0,0,"COUL","Coulman Island",-73.35,169.61,-73.35,152.649,"Subarea 88.1","Victoria Oates Land","Ross","Ross","","yes","yes","COUL"
2009,50,9964.15856988897,2893.41542100826,5889.05894209557,6298.2000584311,9454.4862578839,15301.8011865562,17049.1071869959,0,0,0,0,0,0,0,"ROGE","Cape Roget",-71.99,170.59,-71.99,136.472,"Subarea 88.1","Victoria Oates Land","Ross","Ross","","yes","yes","ROGE"
2010,1,20354.8954794448,5681.31619252379,12252.2614760235,13131.9795269352,19379.994938459,30823.6430476427,34208.4889949323,3885.02360197721,-7503.64730596159,-5023.41347898857,3894.84724396707,12868.7126474594,15033.4114803154,0.207633333333333,"CBEK","Cape Colbeck",-77.135,-157.715,-77.135,-131.4166667,"Subarea 88.2","Amundsen Sea","Ross","Ross","","yes","yes","CBEK"
2010,2,2439.82770377536,764.539739351846,1419.52870364209,1522.38746137844,2288.71447574543,3869.09124284097,4365.10942940262,-168.849848319882,-2629.53921028448,-2045.70132407019,-80.7970431100682,1474.93909442127,2150.89183829442,0.542433333333333,"RUPE","Rupert Coast",-75.38,-143.3,-75.38,0,"Subarea 88.2","Amundsen Sea","Ross","","","no","no","RUPE"
