"Year","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975"
2009,238047.619439634,25189.3912869926,194504.51143808,200035.062510791,236437.461159463,282316.207795497,292782.604220055
2010,231690.36072877,22019.9058406297,193283.889635721,198491.773954052,230505.130397239,270257.52425086,279433.690533011
2011,221921.688717748,20663.4470732864,185730.259343937,190479.366445519,220874.534531433,257288.995757838,266432.038636526
2012,223195.7942874,22397.3373191381,182490.328645609,188435.040440783,221881.322243602,262250.514019771,270688.845349326
2013,221965.988684389,23460.3381491648,179316.834226855,185358.556493545,220637.981220097,262421.532278491,271345.7024225
2014,226220.94382308,22284.8395773424,186116.896993855,191953.391307591,224864.07833644,264921.31395611,273149.463467048
2015,213272.749287484,23670.092853177,171262.015555977,176725.933786192,211723.226152284,253978.663195183,263743.097010495
2016,212595.592583309,23987.3492222898,169332.055980459,176469.129276241,211013.389753156,254509.517112668,264526.27621806
2017,216359.055680801,25873.2485079009,171319.317356133,177405.734526875,214263.12613643,261835.643875337,273276.901777744
2018,225518.813993704,28338.7612864329,177631.209154505,184414.613274481,223149.037286277,275035.413969709,288468.425368349
