"Year","N_mean","N_se","N_q025","N_q05","N_median","N_q95","N_q975"
2009,261412.419734072,27037.2905575461,215112.021887313,221248.880638303,259318.201814194,309973.145498622,321649.621414143
2010,247416.569433242,24343.092925726,205307.740444687,210909.085329827,245516.35846089,290273.502330323,300469.935305051
2011,231305.284644876,21507.1478338299,193089.882823327,198410.74236708,229836.336761535,269098.695346098,278394.908930586
2012,231837.001498216,22732.0460165459,192054.47853563,197445.526703762,230312.96196447,272143.045366345,281460.459965827
2013,226063.94633578,23229.3521744485,184919.868738293,191249.235348308,224222.724556737,267316.573751746,276142.628658633
2014,229152.978580695,22785.3510653874,189536.854564204,194875.747743151,227508.611938117,269704.747036086,278842.02422028
2015,206906.164149564,22620.9058318007,167633.688612869,173000.662556096,205154.994278976,246940.457632586,256268.574901633
2016,202397.054522743,23321.360419009,161478.844305634,167194.944898534,200627.648869211,243264.529181246,253173.369061883
2017,209053.91366207,24046.4840281043,167465.149107052,173626.042145913,207107.38889565,251646.064584581,261851.617696343
2018,223228.056812316,26911.2157035506,177520.715888056,183847.765210743,220922.749396942,270760.576737597,282580.330098884
