site_id,site_name,lat,lon,polynya,ccamlr_reg,ice_reg,p_ice_reg
AMAN,Amanda Bay,-69.27,76.83,Prydz Bay,Division 58.4.2,East Indian Ocean,Indian
AMUN,Amundsen Bay,-66.78,50.55,Amundsen Bay,Division 58.4.2,West Indian Ocean,Indian
ASTD,Astrid,-69.95,8.31,West Lazarev Sea,Subarea 48.6,Dronning Maud Land,Weddell
ATKA,Atka,-70.61,-8.13,Maudheim,Subarea 48.6,Dronning Maud Land,Weddell
AUST,Auster,-67.39,63.98,Utstikkar Bay,Division 58.4.2,West Indian Ocean,Indian
BARR,Barrier Bay,-67.22,81.92,West Ice Shelf,Division 58.4.1,East Indian Ocean,Indian
BEAR,Bear Peninsula,-74.35,-110.25,Amundsen Sea,Subarea 88.2,Amundsen Sea,Bell-Amundsen
BEAU,Beaufort Island,-76.94,167.02,Ross Sea,Subarea 88.1,Victoria Oates Land,Ross
BOWM,Bowman Island,-65.16,103.07,Shackleton Ice Shelf,Division 58.4.1,Australia,Pacific
BRYAN,Bryan Coast,-73.246649,-85.353244,Eltanin Bay,Subarea 88.3,Bellingshausen Sea,Bell-Amundsen
BSON,Brownson Islands,-74.35,-103.64,Pine Island Bay,Subarea 88.3,Amundsen Sea,Bell-Amundsen
BUIS,Burton Ice Shelf,-66.14,89.69,Davis Sea,Division 58.4.1,East Indian Ocean,Indian
CBEK,Cape Colbeck,-77.135,-157.715,Sulzberger Bay,Subarea 88.2,Amundsen Sea,Ross
COUL,Coulman Island,-73.35,169.61,Ross Sea,Subarea 88.1,Victoria Oates Land,Ross
CROZ,Cape Crozier,-77.46,169.32,Ross Sea,Subarea 88.1,Victoria Oates Land,Ross
DARN,Cape Darnley,-67.88,69.7,Mackenzie Bay,Division 58.4.2,West Indian Ocean,Indian
DAWS,Dawson,-76.02,-26.67,Halley Bay,Subarea 48.5,Weddell Sea,Weddell
DBAY,Davis Bay,-69.35,158.49,Ninnis Glacier,Subarea 88.1,Victoria Oates Land,Pacific
DIBB,Dibble Glacier,-66.01,134.79,Davis Bay,Division 58.4.1,Australia,Pacific
DION,Dion Islands,-67.9,-68.7,Marguerite Bay,Subarea 48.1,Bellingshausen Sea,Bell-Amundsen
DOLL,Dolleman,-70.61,-60.43,Larsen Ice Shelf,Subarea 48.5,Bellingshausen Sea,Weddell
DRES,Drescher,-72.83,-19.34,Lyddan Island,Subarea 48.6,Weddell Sea,Weddell
FOLD,Fold Island,-67.32,59.32,Utstikkar Bay,Division 58.4.2,West Indian Ocean,Indian
FRAN,Franklin Island,-76.18,168.43,Ross Sea,Subarea 88.1,Victoria Oates Land,Ross
GOUL,Gould,-77.71,-47.68,Ronne Ice Shelf,Subarea 48.5,Weddell Sea,Weddell
GUNN,Gunnerus,-68.75,34.38,Lutzholhm Bay,Division 58.4.2,West Indian Ocean,Indian
HALY,Halley,-75.54,-27.43,Halley Bay,Subarea 48.5,Weddell Sea,Weddell
HASW,Haswell Island,-66.52,93.01,Davis Sea,Division 58.4.1,East Indian Ocean,Pacific
JASON,Jason,-66.100236,-60.668903,Larsen Ice Shelf,Subarea 48.5,Bellingshausen Sea,Weddell
KLOA,Kloa Point,-66.64,57.28,Cape Borle,Division 58.4.2,West Indian Ocean,Indian
LAZA,Lazarev,-69.75,15.55,East Lazarev Sea,Subarea 48.6,Dronning Maud Land,Weddell
LEDD,Ledda Bay,-74.228,-130.784,Wrigley Gulf,Subarea 88.2,Amundsen Sea,Bell-Amundsen
LUIT,Luitpold,-77.269,-33.54,Halley Bay,Subarea 48.5,Weddell Sea,Weddell
