site_id,Species,Year,Breeding success,Number of breeding pairs
PGEO,Emperor penguin,1974,0.7,5000
PGEO,Emperor penguin,1975,0.667,5900
PGEO,Emperor penguin,1976,0.673,4899
PGEO,Emperor penguin,1977,0.403,3563
PGEO,Emperor penguin,1978,0.562,4495
PGEO,Emperor penguin,1979,0.622,3431
PGEO,Emperor penguin,1980,0.469,3465
PGEO,Emperor penguin,1981,0.776,3350
PGEO,Emperor penguin,1982,0.28,2500
PGEO,Emperor penguin,1983,0.539,2800
PGEO,Emperor penguin,1984,0.243,3119
PGEO,Emperor penguin,1985,0.75,3270
PGEO,Emperor penguin,1986,0.648,2520
PGEO,Emperor penguin,1987,0.63,2303
PGEO,Emperor penguin,1988,0.689,3290
PGEO,Emperor penguin,1989,0.497,2963
PGEO,Emperor penguin,1990,0.154,2593
PGEO,Emperor penguin,1991,0.599,2671
PGEO,Emperor penguin,1992,0.114,3012
PGEO,Emperor penguin,1993,0.81,2540
PGEO,Emperor penguin,1994,0.024,3338
PGEO,Emperor penguin,1995,0.149,3282
PGEO,Emperor penguin,1996,0.341,2461
PGEO,Emperor penguin,1997,0.464,2906
PGEO,Emperor penguin,1998,0.77,2740
PGEO,Emperor penguin,1999,0.757,3216
PGEO,Emperor penguin,2000,0.757,2786
PGEO,Emperor penguin,2001,0.419,2713
PGEO,Emperor penguin,2002,0.686,2511
PGEO,Emperor penguin,2003,0.391,2941
PGEO,Emperor penguin,2004,0.52,2835
PGEO,Emperor penguin,2005,0.796,3173
PGEO,Emperor penguin,2006,0.415,3350
PGEO,Emperor penguin,2007,0.664,3482
PGEO,Emperor penguin,2008,0.705,3373
PGEO,Emperor penguin,2009,0.779,3259
PGEO,Emperor penguin,2010,0.769,3033
PGEO,Emperor penguin,2011,0.797,3102
PGEO,Emperor penguin,2012,0.746,3253
PGEO,Emperor penguin,2013,0.109,3100
PGEO,Emperor penguin,2014,0.029,3794
PGEO,Emperor penguin,2015,0.758,3376
PGEO,Emperor penguin,2016,0.4,4494
PGEO,Emperor penguin,2017,0.739,3762
