,year,site_number,N_mean,N_se,N_q025,N_q05,N_median,N_q95,N_q975,site_id,site_name,lat,lon,img_lat_mean,img_lon_mean,ccamlr_reg,ice_reg,p_ice_reg,MPA_current_name,MPA_proposed_name,in_MPA_current,in_MPA_any
1,2000,1,1320.366632,293.8570933,833.6975903,898.4423305,1289.916293,1846.071862,1985.925865,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
2,2000,2,14278.7852,8031.123262,3409.899162,5052.857066,12733.99059,28578.33777,34340.73067,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
3,2000,3,24654.1666,12258.66748,6270.464777,9511.823633,22745.78277,46215.44107,54042.62529,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
4,2000,4,547.0995893,228.6701338,234.9188223,287.7675826,509.9582827,949.6279931,1098.975754,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
5,2000,5,3470.059006,1118.434145,1586.553992,1964.103038,3394.897863,5369.073127,5867.933975,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
6,2000,6,6808.325753,4302.880904,1346.137545,2158.45909,6000.228891,14129.24355,16996.12426,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
7,2000,7,12752.32686,6032.693686,3500.94456,5230.378338,11916.21883,23323.11279,27090.74167,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
8,2001,1,1399.838002,265.5677858,961.613829,1016.854119,1372.233791,1876.405752,2001.72192,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
9,2001,2,14283.12504,7309.018455,3994.669873,5603.518022,13006.82675,27423.49238,32390.7021,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
10,2001,3,24915.4938,11177.26445,7699.440325,10779.16132,23344.73127,44567.55875,51512.3992,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
11,2001,4,0,0,0,0,0,0,0,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
12,2001,5,3479.51194,798.8317378,2188.387628,2343.865866,3392.179655,4911.766085,5291.150239,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
13,2001,6,6693.655299,3800.761102,1515.184208,2307.330354,6013.541774,13317.7159,15792.42204,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
14,2001,7,12726.37427,5353.804321,3844.677849,5796.219941,12093.61136,22013.24444,25080.71104,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
15,2002,1,1402.518917,248.2284431,987.8405326,1043.205485,1377.346557,1848.3269,1955.91018,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
16,2002,2,14338.82655,6619.69923,4640.899267,6252.544278,13306.12476,26157.16728,30731.85779,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
